"","layer","mean_elev","median_elev","min_elev","max_elev","quant25","quant75"
"1855",NA,105.03774348217,104.59,84.63,134.58,102.1,107.12
"1856",NA,113.464341619247,114.67,96.28,129,108.32,118.03
"1857",NA,109.219391608392,109.1,98.5,124.49,106.5,111.98
"1858",NA,108.475169415292,107.7,94.24,122.65,104.7,112
"1859",NA,103.723346303502,104.13,86.53,121.65,100.145,108.31
"1860",NA,108.729404535918,108.37,86.47,128.42,104.11,113.63
"1861",NA,105.773804532295,106.59,89.66,121.53,101.18,110.8
"1862",NA,105.170401638525,106.64,35.59,149.03,104.32,108.42
"1863",NA,97.8605489451055,99.14,30.38,166.74,95.47,102.43
"1864",NA,93.8968001198083,94.955,78.88,114.77,89.38,98.79
"1865",NA,92.0432693461308,91.76,48.6,136.94,87.6,96.7075
"1866",NA,100.085144139651,97.1,86.5,141.6,93.6,102.3
"1867",NA,113.694240582021,111.5,94.98,157.1,104.2425,119.0375
"1868",NA,111.822134955752,112.14,101.04,142.1,108.5,114.75
"1869",NA,119.527138421474,119.52,108.96,136.34,116.47,122.44
"1870",NA,124.540555775316,125.22,99.18,136.54,122.31,127.66
"1871",NA,125.415999599359,126.18,110.8,137.04,123.08,128.52
"1872",NA,126.751748869915,127.51,113.55,134.96,125.19,129.37
"1873",NA,120.710445771144,121.1,99.47,140.75,117.14,125.1
"1874",NA,113.433758872338,115.22,85.33,137,107.82,119.75
"1875",NA,102.626683296747,103.475,87.77,116.4,98.6,106.8
"1876",NA,107.366937531234,108.8,80.2,121.84,103.8,112.5
"1877",NA,105.417674767477,111,58.58,137.09,101.635,113.77
"1878",NA,83.338916059487,84.6,58.71,120.66,63.08,103.73
"1879",NA,73.1117743384923,69.14,58.71,106.85,64.09,80.89
"1880",NA,78.6131935290593,71.3,61.17,110.87,67.16,94.49
"1881",NA,75.045005994006,69.35,63.25,107.36,67.6625,73.755
"1882",NA,76.6501678321678,70.54,64.56,111.6,69.17,76.1875
"1883",NA,73.267209070023,72.03,66.39,107.27,70.93,74.31
"1884",NA,74.3878486572826,73.5,67.81,95.41,72.8,75.21
"1885",NA,76.9987075509389,76.3,68.42,95.67,74.39,79.62
"1886",NA,79.6047989623865,79.12,71.47,102.48,77.83,80.71
"1887",NA,81.2004326106504,81.06,74.03,102,80.05,82.05
"1888",NA,84.2962311457397,82.92,78.24,109.47,81.49,86.81
"1889",NA,92.309626746507,92.09,84.05,107.67,89.86,94.7
"1890",NA,98.6014532560927,98.13,87.37,127.64,96.12,100.75
"1891",NA,108.860020951811,108.46,94.88,129.78,104.995,111.99
"1892",NA,123.012846307385,122.255,103.28,151.73,114.31,130.63
"1893",NA,138.172069688498,136.65,112.6,179.75,126.61,149.0925
"1894",NA,155.036975351761,158.21,120.19,181.01,144.94,166
"1895",NA,151.962362747055,151.86,122.38,176.62,143.2925,160.66
"1896",NA,132.644545908184,131.225,116.41,162.66,124.3975,139.47
"1897",NA,162.461023849915,162.64,128.69,206.05,156.17,169.04
"1898",NA,172.221340648379,170.53,151.82,213.61,163.9,178.76
"1899",NA,168.849019059974,168.58,142.97,193.23,160.79,176.95
"1900",NA,152.299969077307,152.31,120.92,185.32,142.48,160.69
"1901",NA,135.500973566085,135.16,110.39,178.3,119.35,148.8
"1902",NA,136.208876920008,136.22,108.7,176.58,119.02,149.13
"1903",NA,138.716625448744,140.63,113.48,167.39,121.2875,151.9
"1904",NA,137.473291770574,133.89,115.47,184.61,122.52,149
"1905",NA,158.990152557583,165.59,109.16,195.47,140.38,177.5
"1906",NA,173.879961893301,176.25,122.37,189.1,170.9075,180.4025
"1907",NA,166.249040207523,166.25,155,183.17,161.635,170.14
"1918",NA,23.4930136986301,23.52,22.1,24.64,23.15,24.05
"1919",NA,38.4613453038674,39.4,21.13,58.07,26.6875,47.79
"1920",NA,41.893354069466,43.06,23.06,61.33,35.76,49.07
"1921",NA,70.1018957628804,64.035,30.62,124.68,56.14,85
"1922",NA,84.7067796778684,79.755,50.44,135.68,66.62,103.8675
"1923",NA,93.0825265983892,93.5,55.96,138.64,78.25,108.81
"1924",NA,99.7454308457711,97.73,69.38,165.19,93.09,104.29
"1925",NA,107.476304066819,107.98,75.44,144.38,99.06,116.61
"1926",NA,91.182159633758,89.325,67.26,138.1,81.67,99.28
"1927",NA,100.156154228856,100.515,70.47,139.2,88.9,111.09
"1928",NA,82.9518961400716,81.79,59.45,127.79,67.86,95.19
"1929",NA,70.3545287150393,68.19,52.01,105.85,62.97,77.4
"1930",NA,59.8921431415489,57.85,48.81,84.3,55.5,62.86
"1931",NA,66.10724947756,66.12,54.97,86.36,62.64,69.77
"1932",NA,71.2723237753883,71.12,62.03,91.19,69.58,72.98
"1933",NA,92.1539504082852,92.49,72.3,115.83,83.83,99.65
"1934",NA,86.5795125348189,85.65,72.24,112.58,80.32,91.26
"1935",NA,75.2737345555998,75.3,67.42,85.53,73.86,76.51
"1936",NA,77.8969958192315,76.4,69.57,90.4,74.3,81.3
"1937",NA,74.7588410991637,76.2,61.57,94.1,67.33,80.3
"1938",NA,73.3354384216819,64.315,53.23,130.72,62.64,86.085
"1939",NA,70.1148003982081,68.1,53.93,96.06,61,80.71
"1940",NA,75.5008716875872,76.61,59,86.62,72.14,79.28
"1941",NA,82.4164127837515,81.875,64.59,102.38,79.02,85.41
"1942",NA,91.62227757298,92.43,71.37,109.5,85.66,97.79
"1943",NA,94.0467954590719,94.84,69.6,112.56,89.98,99.43
"1944",NA,97.5906783544178,98.2,74.08,115.47,94.3,101.835
