"","layer","mean_elev","median_elev","min_elev","max_elev","quant25","quant75"
"27",NA,3.62909090909091,3.96,0,7.07,1.615,5.46
"28",NA,5.09091627172196,3.6,-2.02,34.4,0,6.9475
"29",NA,2.07362048894063,0,-2.22,26.29,0,3.05
"30",NA,0.705934321418192,0,-2.45,14.6,0,0.79
"31",NA,10.5396899224806,3.685,-2.78,54.1,1.03,14.74
"32",NA,35.2175580110497,28.83,0,94.91,8.45,61.235
"33",NA,37.8059951549152,36.64,0,103.94,19.535,49.47
"34",NA,34.6075318720644,35.335,0,97.37,11.01,51.4675
"35",NA,30.1168719399412,7.6,-0.78,111.04,2.18,58.265
"36",NA,30.467414411477,20,-1.16,109.84,2.94,53.65
"37",NA,26.42216559793,23.95,-0.01,94.98,5.47,40.19
"38",NA,19.1332397191575,17.28,-1.03,54.04,2.27,30.7575
"39",NA,2.89203921568627,2.8,-0.01,9.14,1.865,3.86
"40",NA,2.754,2.85,-0.01,5.2,1.785,3.87
"112",NA,19.484016,19.02,0,39.01,16.82,21.81
"113",NA,5.77206702789484,2.23,-0.24,46.84,0.25,6.52
"114",NA,8.10145508172545,2.61,-3.49,101,0.2,10.5
"115",NA,6.95033291192583,1.93,-2.99,78.97,0.5,10.53
"116",NA,8.93882749894559,1.75,-1.93,70.71,0,13.8225
"117",NA,11.5940663856691,2.37,-3.57,86.64,1.05,16.42
"118",NA,29.4436302308422,27.16,-0.46,78.1,6.31,46.84
"119",NA,75.1799842022117,76.86,23.47,119.06,63.9,89
"120",NA,85.6598777016342,89.09,35.91,125.06,69.03,102.54
"121",NA,95.7661686874012,99.33,42.64,173.72,77.67,112.22
"122",NA,59.4348298387946,53.26,3.72,128.09,34.12,86.53
"123",NA,59.826734779861,63.425,15.43,116.21,42.315,73.9475
"124",NA,53.3567296327564,55.675,1.33,123,34.3975,75.3325
"125",NA,15.5329072444144,11.6,-0.3,68.66,2.68,24.86
"126",NA,4.61910526315789,1.935,-0.01,25.66,0.89,7.1825
"127",NA,2.08347048300537,1.72,-0.65,9.1,0.97,2.695
"128",NA,4.12333664349553,3.755,-0.01,22.14,2.68,4.86
"195",NA,3.91193306693307,2.82,-0.92,24.73,1.2125,5.19
"196",NA,4.3022346899962,3.47,-0.28,25.74,1.2025,6.8275
"197",NA,12.4772745805238,7.12,-0.76,60.13,2.7,18.36
"198",NA,15.4697286924299,13.805,-1.59,48.05,5.9,22.1925
"199",NA,23.2610772910099,21.84,0,51.12,13.275,33.88
"200",NA,31.6923629489603,26.06,5.22,73.82,19.1,38.8075
"201",NA,53.9529421661409,64.655,7.44,85.9,28.085,76.9875
"202",NA,53.5666551071879,56.385,5.18,84.47,38.09,70.575
"203",NA,65.4001597813518,69.12,5.35,94.32,55.61,75.48
"204",NA,54.6833928383913,64.98,4.68,103.1,34.55,74.8
"205",NA,32.2240969811718,18.7,4.04,111.71,10.785,55.07
"206",NA,51.6347398297067,44.57,12.5,142.95,25.19,69.96
"207",NA,86.1735003676857,86.17,21.03,195.98,37.12,119.295
"208",NA,109.96061357428,111.405,31.99,215.72,62.78,151.335
"209",NA,114.175207654295,104.2,36.3,205.3,82.575,150.495
"210",NA,126.846031361819,127.3,20.59,216.78,93.9175,166.385
"211",NA,130.762020997375,147.64,6.9,226.56,104.54,169.86
"212",NA,74.7154609481762,63.56,3.92,182.6,18.49,128.64
"213",NA,39.4373336115168,38.79,-0.01,145.27,11.63,55.72
"215",NA,2.81852272727273,2.365,-0.01,8.41,1.7025,3.675
"280",NA,1.86166666666667,1.745,0.52,3.4,0.9375,2.755
"281",NA,3.40697602658438,2.03,-1.04,27.39,1.2,3.78
"282",NA,15.5776226136483,11.56,-1.55,70.67,6.02,23.9
"283",NA,24.0507056113903,24.75,1.03,66.24,17.8,29.42
"284",NA,24.5882899979031,24.04,2.16,50.26,19.61,28.9
"285",NA,40.4854233913226,41.96,15.88,64.23,32.47,48.79
"286",NA,50.2875214659686,50.54,26.21,68.6,45.9225,55.61
"287",NA,45.5303649328859,42.955,11.07,87.76,27,64.3
"288",NA,73.8438703257568,73.73,36.5,122.97,66.83,79.81
"289",NA,84.4622997903564,85.995,51.03,119.11,77.7,91.54
"290",NA,83.0974240201216,82.25,47.62,141.2,76.24,89.8
"291",NA,98.1973506602389,96.58,34.32,143.57,88.2025,110.685
"292",NA,112.667597150937,119.15,17.31,179.67,92.375,138.085
"293",NA,135.010777136864,145.5,48.52,188.43,117.145,154.09
"294",NA,158.823914501257,158.95,93.58,225.75,151.0275,167.35
"295",NA,178.301687264349,179.85,96.01,243.11,155.3175,201.7225
"296",NA,173.026556499843,176.04,121.29,238.03,151.855,192.42
"297",NA,199.833817209936,199.75,155.17,247.95,191.98,208.32
"298",NA,183.190343671417,182.755,141.48,239.36,167.13,198.7025
"299",NA,149.75176902117,149.86,68.2,205.51,140.7025,160
"300",NA,72.4766980523668,75.35,-0.04,156.86,26.38,113.56
"301",NA,3.24716417910448,2.57,-0.8,20.76,1.92,3.525
"302",NA,1.665,1.665,1.1,2.23,1.3825,1.9475
"307",NA,11.6929787234043,12.39,0.09,22.07,9.545,15.745
"308",NA,4.53834932821497,0.2,0,41.47,0.08,6.24
"309",NA,1.83619346733668,0.25,-1.96,30.44,0.25,0.25
"310",NA,0.344492419248517,0.25,-1.61,22.13,0.25,0.25
"311",NA,5.90978381374723,3.03,-0.82,28.12,1.36,10.12
"312",NA,34.7696526867628,35.235,8.31,62.93,22.1525,46.23
"313",NA,84.1397876197876,83.88,35.89,123.75,65.84,103.07
"314",NA,111.634469096672,110.38,87.11,137.6,104.375,117.285
"315",NA,118.386253122398,120.47,93.55,136.49,113.1125,125.14
"316",NA,137.414791519435,136.81,108.06,187.75,121.575,151.01
"317",NA,157.489238095238,158.52,133.04,178.75,152.83,163.45
"318",NA,119.344571428571,117.4,104.44,133.21,110.4,127.87
"337",NA,248.972378698225,247.28,230.38,279.68,242.52,254.06
"338",NA,235.490361842105,242.39,179.33,277.47,219.1425,251.6925
"339",NA,208.365773195876,208.18,181.04,234.2,197.055,220.9375
"365",NA,2.35214285714286,1.745,-0.2,12.17,1.2925,2.77
"366",NA,0.649149952244508,0,-1.23,11.08,0,0.7475
"367",NA,7.56483318571007,3.32,-2,41.61,0.2225,11.44
"368",NA,18.059530075188,15.865,-0.03,62.98,7.38,27.4725
"369",NA,32.3135488926034,34.27,6.01,86.44,27.7375,38.7225
"370",NA,42.6760348970849,46.1,11.08,77.08,28.3,57.055
"371",NA,41.9968070212099,40.12,15.65,80.79,23.725,59.87
"372",NA,42.3723884651552,40.21,20.54,85.53,33.05,49.83
"373",NA,54.4048970419149,52.91,28.73,131.59,38.25,64.245
"374",NA,86.4165434419382,87.025,21.36,163.64,46.43,122.8525
"375",NA,88.6771943573668,86.01,24.17,155.71,53.2025,122.2025
"376",NA,90.318685833769,89.1,35.41,156.98,66.71,110.05
"377",NA,104.010778474399,104.9,59.88,155.53,89.695,120.85
"378",NA,122.66245923913,123.24,80.19,175.22,116.84,128.64
"379",NA,139.119356627262,138.32,97.93,198.9,126.685,151.19
"380",NA,185.042129503916,186.11,120.03,226.96,171.66,199.67
"381",NA,202.373538879599,200.665,153.29,264.48,182.965,219.73
"382",NA,215.561235226441,219.25,159.3,267.4,203.09,231.53
"383",NA,194.314179369388,195.825,140.01,246.56,171.74,215.46
"384",NA,201.320190157768,204.94,149.5,261.47,185.89,216.46
"385",NA,176.113580854629,174.36,109.03,242.62,159.9,194.06
"386",NA,136.408632710573,137.26,49.32,210.9,121.37,151.28
"387",NA,90.2210934393638,87.66,15.93,161.36,66.35,114.82
"388",NA,9.48121412109784,0.41,-4.08,81.85,-0.79,6.4525
"389",NA,0.406301942186089,0.03,-2.65,19.11,-0.52,0.86
"390",NA,1.66544384303112,0.86,-2.33,43.29,0.07,2.27
"391",NA,1.93238357324301,1.34,-3.03,34.39,0.03,2.66
"392",NA,1.20256169377454,0.19,-3.91,28.26,-0.46,1.38
"393",NA,0.78,0,-3.2,23.26,-0.85,0
"394",NA,0.927817961965483,0,-2.81,36.44,0,0
"395",NA,23.6783117154812,0,-2.84,182.54,0,21.4025
"396",NA,55.8264597701149,61.445,-1.13,163.88,0.25,100.895
"397",NA,24.3229599832828,28.09,-0.74,77.01,15.255,33.835
"398",NA,29.9997187075186,31.91,2.45,70.27,24.63,36.285
"399",NA,57.2058345534407,57.05,8.57,120.34,50.5,64.26
"400",NA,97.8887157784744,98.12,46.16,131.38,88.6525,109.19
"401",NA,103.887867224255,103.95,75.31,132.85,98.49,109.57
"402",NA,127.863371326989,129.21,82.79,166.19,118.57,137.6
"403",NA,142.493727415144,143.42,98.59,212.62,130.005,156.43
"404",NA,139.988220108696,144.19,81.15,199.01,123.88,155.6825
"405",NA,100.058616148532,98.71,68.64,146.75,91.71,106.96
"406",NA,91.9650499943827,92.96,54.6,125.89,81.65,102.68
"407",NA,69.9060515703287,65.53,34.75,108.63,55.82,85.425
"408",NA,50.661748809677,49.97,24.41,81.99,45.47,56.43
"409",NA,42.737235989862,42.49,24.45,59.71,39.2725,46.27
"410",NA,45.592327847899,46.33,33.82,61.66,41.85,49.105
"411",NA,48.8578359632391,49.21,32.72,62.92,45.28,52.53
"412",NA,57.2520373867069,56.98,42.08,78.13,53.0675,61.6325
"413",NA,68.692917382179,66.88,53.37,100.28,64.78,72.94
"414",NA,95.2459637561779,90.37,63.29,153.63,78.825,111.89
"415",NA,123.313730461966,119.485,97.13,160.87,113.54,135.4075
"416",NA,98.0409173846934,96.66,89.23,120,94.105,100.465
"417",NA,104.381409165303,100.51,87.81,176.4,96.74,108.8225
"418",NA,149.565237791254,150.375,106.22,193.84,140.9925,163.1675
"419",NA,162.334871290127,155.83,132.49,253.82,148.78,170.3025
"420",NA,187.236610095099,179.08,145.65,269.13,161.56,213.115
"421",NA,190.800077326705,190.645,164.36,233.5,182.27,197.31
"422",NA,195.206554213704,196.11,151.1,255.99,172.6625,216.21
"423",NA,223.564496677332,228.75,157.14,294.82,201.0025,245.635
"424",NA,251.992585479574,253.7,160.31,293.98,243.3,262.72
"425",NA,205.40343701075,205,132.47,295.68,171.4,236.19
"426",NA,184.196201372998,191.98,118.59,238.62,172.46,201.06
"427",NA,196.712063732929,198.42,151.71,235.71,188.02,206.795
"428",NA,153.485320197044,153.12,143.72,162.78,150.845,155.96
"446",NA,1.33004056795132,1.01,-1.99,8.51,0,1.84
"447",NA,1.53129426915647,1.08,-2.97,8.82,0.12,2.63
"448",NA,5.24137763371151,3.8,-0.31,25.02,2.4,6.45
"449",NA,17.2879374325782,17.35,-0.55,44.16,7.62,25.855
"450",NA,13.804553305539,14.085,-1.08,38.33,6.85,19.95
"451",NA,15.9481511292648,13.7,-1.25,41.79,7.15,25.3
"452",NA,18.6047505141249,16.63,-1.8,59.76,7.675,28.83
"453",NA,25.0416739583333,30.81,-1.26,66.98,6.2,39.7725
"454",NA,34.5422981560579,30.2,-1.15,132.29,10.665,45.52
"455",NA,40.5962046686119,39.26,6.8,120.83,29.495,50.21
"456",NA,70.9549323057696,71.84,20.55,126.76,55.59,86.7375
"457",NA,102.174598874766,110.66,12.61,182.44,64.97,139.2275
"458",NA,80.1043302083333,75.84,18.59,174.94,51.78,110.62
"459",NA,92.9098853689037,91.205,36.17,163.1,70.2375,115.6925
"460",NA,84.4253427797458,80.685,32.09,137.7,65.3125,105.99
"461",NA,95.490385537147,94.59,65.97,144.56,87.48,102.75
"462",NA,115.421000521105,112.79,83.72,173.33,104.115,125.34
"463",NA,126.226114643043,122.86,61.09,183.13,109.655,145.525
"464",NA,132.10995,130.69,81.42,192.88,112.415,151.325
"465",NA,148.334831144465,147.115,95.84,225.55,125.535,167.8275
"466",NA,170.911516572858,175.66,108.05,239.24,148.025,193.745
"467",NA,181.553257923269,182.115,128.34,238.49,169.1275,195.57
"468",NA,190.265984153461,188.51,147.48,239.41,173.18,207.1925
"469",NA,184.761191618015,184.37,148.32,229.24,175,194.54
"470",NA,212.218827025336,210.47,157.42,321.26,195.8,228.685
"471",NA,219.612401168249,223.7,156.78,291.05,206.46,234.055
"472",NA,218.500828470196,221.28,162.96,271.7,204.415,234.64
"473",NA,179.712899666944,179.09,55.66,267.34,144.715,215.55
"474",NA,90.5661748463061,93.35,13.32,147.11,67.19,114.8
"475",NA,25.5763142559834,17.735,-2.7,116.85,3.9925,41.7375
"476",NA,2.291365625,2.23,-2.15,17.26,1.1,3.15
"477",NA,2.35190416666667,2.3,-1.54,13.96,1.45,3.01
"478",NA,0.022540625,0.32,-3.61,4.66,-1.34,1.16
"479",NA,-0.377617708333333,-0.45,-4.52,5.39,-0.9,0.13
"480",NA,-0.325860954763394,-0.55,-4.09,5.71,-1.09,0.28
"481",NA,3.75703954920171,0,-3.03,74.28,-0.73,1.1
"482",NA,115.377931502558,123.19,1.91,194.52,78.3,155.43
"483",NA,137.78530184548,138.05,50.59,194.04,117.51,158.28
"484",NA,60.9590375391032,57.48,20.92,130.96,39.18,81.82
"485",NA,46.4638848920863,44.37,16.09,89.33,39.24,53.21
"486",NA,53.0467437740961,52.72,16.84,116.9,41.45,62.7
"487",NA,78.6416833333333,70.92,26.29,132.25,55.7975,104.085
"488",NA,89.6553120116679,88.37,52.94,133.09,77.005,103.225
"489",NA,93.4730361797518,92.5,58.58,146.86,82.17,104.16
"490",NA,110.372198248906,108.26,69.86,171.21,98.44,120.1475
"491",NA,107.894824314461,101.93,68.01,178.73,84.245,127.57
"492",NA,87.8906431773168,89.47,46.1,116.4,81.37,96.18
"493",NA,84.249171702438,83.435,36.9,125.37,72.71,97.4475
"494",NA,69.3584370115661,62.41,31.89,117.94,52.13,89.02
"495",NA,54.8278159841617,49.62,28.34,99.29,41.57,67.64
"496",NA,49.852762143006,46.99,28.41,93.29,41,57.3
"497",NA,49.9072817253594,47.17,34.14,95.32,41.25,54.2675
"498",NA,62.2165294853094,62.635,39.56,88.05,53.76,70.2975
"499",NA,77.968432843597,77.08,50.4,129.51,69.41,86.94
"500",NA,101.012402583872,96.995,59,157.83,84.32,116.0875
"501",NA,114.770118774745,115.07,73.12,147.66,113.15,123.0575
"502",NA,122.980493544357,119.57,101.51,157.28,115.59,129.24
"503",NA,126.113006665278,126.89,94.3,172.33,116.72,135.53
"504",NA,142.253260416667,142.64,96.4,219.3,116.9575,167.04
"505",NA,154.422803290638,152.11,103.28,204.19,140.87,170.705
"506",NA,191.991698604457,184.615,140.67,265.31,171.4225,212.02
"507",NA,235.739784464806,237.685,178.42,304.15,220.0075,252.94
"508",NA,197.091562174547,194.77,170.1,244.17,185.4625,208.27
"509",NA,206.022386801291,205.9,163.27,253.98,194.01,220.34
"510",NA,213.181816668401,212.39,173.22,263.1,204.655,221.43
"511",NA,217.565930244664,219.37,159.75,276.95,203.68,232.65
"512",NA,207.572827693909,207.06,146.89,282.47,194.72,221.05
"513",NA,193.251855552087,196.2,143.86,240.4,178.79,206.81
"514",NA,165.215604578564,162.61,140.51,240.42,153.6825,172.51
"515",NA,154.76809264596,154.9,131.57,186.2,147.86,160.97
"516",NA,150.960727450661,149.29,133.39,193.59,143.31,156.695
"517",NA,137.051088977424,136.82,130,154.74,134.32,139.57
"528",NA,2.05279411764706,1.635,-0.7,6.65,0.3975,3.47
"529",NA,5.73856871437619,5.83,-0.26,17.52,1.45,8.29
"530",NA,5.72835828877005,3.615,-0.98,22.49,0.89,10.5325
"531",NA,8.86676737160121,8.325,-1.54,36.93,1.64,13.93
"532",NA,7.97559062885327,5.12,-1.62,37.14,2.0625,12.68
"533",NA,9.00818891084989,8.19,-2.15,33.13,1.57,14.86
"534",NA,14.3272689511942,13.07,-1.29,49.87,5.2325,23.2075
"535",NA,20.8609134315964,20.53,0.67,50.4,11.5625,30.68
"536",NA,30.8704538845035,32.35,2.08,55.89,23.9575,39.93
"537",NA,29.3236265448125,31.2,4.9,49.17,23.79,36.53
"538",NA,26.6070995221276,27.24,7.63,38.82,23.97,30.3275
"539",NA,26.0505607476635,24.23,15.44,61.39,21.36,29.75
"540",NA,40.3300456952955,40.07,22.16,83.61,33.35,46.75
"541",NA,52.6149298701299,51.7,26.89,86.56,43.64,60.97
"542",NA,65.9839216704758,65.1,28.25,115.25,52.9,75.02
"543",NA,90.7836278683418,91.33,50.66,143.74,76.8,98.125
"544",NA,115.713298336798,120.52,66.71,183.71,92.63,136.98
"545",NA,137.349353699086,141.415,57.46,211.92,105.4825,164.5225
"546",NA,144.278792350863,147.465,65.48,227.51,114.1375,176.77
"547",NA,128.533930798005,126.755,61.34,192.27,101.73,157.2325
"548",NA,150.991016737707,152.21,74.9,229.29,116.81,183.245
"549",NA,178.167732044486,177.96,111.89,237.51,162.6,196.4
"550",NA,177.156853372129,182.25,131.67,219.46,159.605,193.24
"551",NA,181.326771645359,182.66,120.93,251.99,167.86,195.23
"552",NA,172.524000831774,171.24,121.44,221,160.45,184.405
"553",NA,173.680773704435,171.67,142.3,222.13,162.71,182.25
"554",NA,169.421116540181,169.15,139.86,205.89,159.325,178.88
"555",NA,155.518298159892,155.88,134.39,181.48,148.35,162.81
"556",NA,159.464492828934,156.19,136.63,202.54,150.28,166.9075
"557",NA,166.914032827758,166.385,133.73,213.76,154.9125,177.935
"558",NA,165.207952960766,161.98,129.47,226.72,146.86,182.93
"559",NA,158.414653630123,154.735,104.35,225.33,141.4425,172.82
"560",NA,139.970883421572,135.59,95.28,211.93,125.21,152.73
"561",NA,88.5292371821592,85.11,58.71,145.61,75.93,99.68
"562",NA,57.7461585683071,60.81,8.28,111.07,45.625,71.465
"563",NA,19.8812436521919,11.56,1.78,84.86,5.42,31.39
"564",NA,4.23690628878775,4.15,0.7,9.27,3.4,5.05
"565",NA,4.25951041666667,3.8,-0.17,20.66,2.78,4.99
"566",NA,3.288271875,3.08,-2.5,21.72,1.31,5.13
"567",NA,1.44369915739103,1.28,-3.4,10.35,0.12,2.77
"568",NA,-0.373067993366501,-0.36,-4.58,8.69,-0.96,0.21
"569",NA,9.60844201768071,0,-4,116.51,-0.77,2.02
"570",NA,29.9553617154158,16.42,-3.31,130.34,4.695,43.39
"571",NA,52.1088773604482,50.85,9.41,110.88,39.5425,64.565
"572",NA,63.5990689941812,61.155,27.61,132.15,53.72,68.94
"573",NA,85.8739429879318,77.445,25.48,164.94,50.63,123.4575
"574",NA,70.4052807236432,58.1,29.27,163.36,49.68,80.225
"575",NA,77.5650421041688,74.4,38.8,128.91,64.95,89.915
"576",NA,85.6511643621998,85.79,56.14,125.32,75.1,94.4
"577",NA,85.4174459459459,83.035,60.1,124,77.5875,91.79
"578",NA,100.034273690773,94.645,59.34,171.21,80.8,117.7125
"579",NA,110.041824134705,110.83,54.74,177.44,101.16,119.83
"580",NA,121.896583844474,119.71,92.44,171.63,110.89,131.135
"581",NA,125.201350368755,119.16,89.58,184.1,104.27,145.78
"582",NA,105.000010396091,103.31,52.57,160.45,86.81,123.115
"583",NA,87.9929442943255,83.85,52.54,161.27,66.24,107.695
"584",NA,115.389942863079,120.16,45.63,159.6,108.5225,128.35
"585",NA,85.7438324846721,82.06,43.22,138.93,71.33,101.235
"586",NA,115.583188616535,116.895,75.53,155.68,106.2775,124.6325
"587",NA,125.466400956142,124.78,113.06,158.07,119.36,130.59
"588",NA,118.976782337662,115.6,113.09,144.54,115.07,122
"589",NA,127.139489096573,121.89,112.82,176.55,115.07,135.5
"590",NA,137.277199252026,138.19,115.08,178.96,126.23,146.91
"591",NA,145.778308922821,146.16,115.31,213.46,135.95,153.81
"592",NA,162.831644518272,159.71,129.67,220.58,149.56,176.99
"593",NA,145.046059410054,141.975,123.71,189.86,135.45,151.38
"594",NA,181.254371301007,177.2,134.11,247.5,165.975,196.875
"595",NA,186.445227909874,187.16,152.61,236.32,174,197.74
"596",NA,182.929382267442,184.48,156.2,218.35,176.48,189.76
"597",NA,176.058797507788,175.305,148.22,218.26,166.6425,184.59
"598",NA,182.479161303716,181.45,153.79,221.42,175.78,188.3975
"599",NA,174.175662237907,172.83,141.41,226.35,168.5125,179.11
"600",NA,152.078517327246,151.08,129.51,200.53,142.2425,161.0175
"601",NA,140.329257261411,137.27,128,183.04,133.3,145.06
"602",NA,136.700060190951,135.99,124.98,158.95,133.05,139.96
"603",NA,136.256469184478,135.72,121.51,169.58,131.29,140.0875
"604",NA,134.97450395225,134.93,121.77,172.82,130.275,138.805
"610",NA,3.33728915662651,3.29,-0.24,8.76,2.2525,4.235
"611",NA,2.52292604501608,2.58,0.03,8.78,1.285,3.655
"612",NA,15.4196223316913,4.92,-0.98,57.61,1.13,30.82
"613",NA,33.1822808235022,28.76,0.03,111.38,7.635,52.325
"614",NA,5.99068707881629,2.94,-1.74,68.74,0.7825,5.9475
"615",NA,2.74696110386788,0.83,-1.23,21.64,0.03,5.4425
"616",NA,6.12094154164511,6.51,-1.58,25.08,2.23,8.99
"617",NA,13.9342898550725,12.42,1.12,42.32,9.38,18.2225
"618",NA,19.4158952597806,18.59,7.74,54.81,14.76,22.23
"619",NA,21.9816906512061,22.06,5.65,47.83,17.04,25.845
"620",NA,28.0021358318667,28.19,6.32,65.3,23.735,32.69
"621",NA,34.781975564299,34.42,12.79,68.44,30.48,38.78
"622",NA,44.2229108418764,43.01,14.82,82.89,36.54,52.88
"623",NA,53.2416309412861,54.01,21,70.69,46.98,60.48
"624",NA,39.7095018641259,39.69,12.66,90.65,33.3775,44.94
"625",NA,34.8043357150254,29.62,10.87,111.18,22.52,43.96
"626",NA,37.8243700787402,37.2,19.95,96.06,26.3075,46.16
"627",NA,56.3358036454018,55.605,33.71,115.75,49.56,59.96
"628",NA,70.9580043518806,69.87,42.01,110.63,62.835,78.89
"629",NA,101.161718102734,97.675,59.84,170.9,84.75,117.77
"630",NA,148.886789675547,146.96,73.62,211.87,126.48,177.305
"631",NA,144.703480737365,149.2,75.13,207.24,132.6075,159.8225
"632",NA,157.854885480361,165.34,75.66,229.24,150.74,176.91
"633",NA,191.225975963531,189.69,146.13,239.03,179.3575,202.47
"634",NA,174.371870787099,177.64,103.64,231.49,163.82,187.855
"635",NA,175.499608533554,174.77,121.64,216.4,168.02,184.0925
"636",NA,171.766963915388,171.55,139.58,204.9,161.34,183.4675
"637",NA,161.795758109649,161.52,132.98,203.6,151.54,171.59
"638",NA,155.503931198839,157.38,120.33,184.41,146.37,166.41
"639",NA,149.743310194778,153,119.85,177.84,143.85,158.71
"640",NA,150.847150710507,150.62,121.18,184.49,143.29,157.52
"641",NA,159.428362354892,154.68,131.85,203.74,145.58,172.6625
"642",NA,148.085590461379,148.16,132.51,196.86,140.28,154.49
"643",NA,140.525431945308,140.225,123.1,163.95,136.71,144.21
"644",NA,138.371184716021,138.42,119.58,157.86,133.67,144.195
"645",NA,136.467849751656,136.715,107.7,158.51,130.0175,143.83
"646",NA,126.885448604917,128.19,100.59,148.81,122.47,133.09
"647",NA,112.684287195438,112.05,77.67,141.31,105.83,119.9
"648",NA,90.7699470459973,88.67,58.91,121.89,80.685,101.915
"649",NA,62.9266518640917,61.71,33.47,107.1,55.24,70.025
"650",NA,34.67793125,38.795,5.43,75.91,25.69,46.3125
"651",NA,13.6181034128289,8.34,3.86,66.41,7.08,10.4
"652",NA,37.4817729166667,43.13,3.41,76.21,27.9275,49.39
"653",NA,29.9902689232686,31.74,2.38,78.07,17.085,43.03
"654",NA,38.8952861709807,43.75,0.28,104.79,15.29,56.75
"655",NA,21.3449640662431,17.29,-2.63,82.88,0.86,40.07
"656",NA,49.8996223096026,59.32,-2.71,100.03,26.435,71.7825
"657",NA,88.4567586063874,97.07,-0.28,137.68,67.94,112.145
"658",NA,117.188360791628,119.52,56.07,163.76,110.08,126.77
"659",NA,130.213640136972,132.74,61.79,193.03,118.97,142.86
"660",NA,139.527343345417,138.41,85.78,193.57,124.125,155.785
"661",NA,116.355143094152,117.355,57.8,173.46,104.63,129.8325
"662",NA,107.750503007675,107.265,60.23,152.63,91.975,125.6
"663",NA,119.802243988391,118.44,78.26,165.04,110.6,126.56
"664",NA,99.2282755049197,96.06,68.18,154.22,84.34,113.56
"665",NA,123.723679460581,118.335,80.9,180.84,101.2,145.07
"666",NA,142.655709991708,149.69,94.71,196.06,120.59,162.91
"667",NA,143.675689708778,147.29,105.6,183.94,133,155.51
"668",NA,151.394067164179,150.78,123.54,201.76,143.4975,158.5325
"669",NA,157.764232842629,160.875,84.71,220.08,147.61,171.41
"670",NA,143.392313587407,146.075,75.2,204.01,119.095,165.5725
"671",NA,141.638858031088,134.675,86.3,205.05,124.01,162.8025
"672",NA,137.229488029848,139.23,82.74,194.05,123.17,152.82
"673",NA,154.744978242851,153.66,106.09,216.87,137.54,171.7425
"674",NA,132.763949658173,128.77,110.1,176.15,123.51,139.7475
"675",NA,136.457496373057,132.66,112.71,188.72,121.72,148.4475
"676",NA,123.990134673159,120.7,113.48,158.31,115.54,131.66
"677",NA,137.698681102362,137.62,114.43,175.94,133.15,142.81
"678",NA,144.74561872217,140.27,128.83,203.24,135.24,148.2
"679",NA,141.961122047244,138.725,126.22,199.31,132.71,147.5725
"680",NA,139.225929377654,136.08,124.73,181.24,131.28,145.66
"681",NA,147.526776799586,146.44,124.93,200.16,138.34,155.69
"682",NA,155.964145356662,155.24,127.5,189.9,147.84,163.64
"683",NA,155.475362544023,156.49,133.67,185.6,148.64,161.27
"684",NA,165.871282475934,165.27,146.39,185.39,161.86,170.25
"685",NA,159.492885093168,159.97,130.75,185.88,152.99,165.89
"686",NA,145.290796771523,143.505,122.57,176.6,135.0475,156.31
"687",NA,135.797583065935,133.19,122,164.12,130.75,138.81
"688",NA,138.392223832695,138.35,126.2,152.73,134.995,142.24
"689",NA,130.903419528341,130.53,115.01,146.08,127.27,134.73
"690",NA,129.110877574252,130.98,110.3,147.27,121.33,136.59
"691",NA,125.745151951088,126.7,104.32,136.15,121.21,130.67
"697",NA,2.49162141779789,1.175,-1.43,51.31,0.03,3.0125
"698",NA,1.41677356866121,0.6,-2.5,16.53,0.03,2.28
"699",NA,5.56373149885345,0.03,-0.87,86.8,0.02,0.88
"700",NA,8.69893726784977,0.285,-2.73,64.32,0.03,13.71
"701",NA,3.8247564499484,3.25,-3.33,26.29,0.26,6.15
"702",NA,7.38582722675199,7.01,-2.39,33.94,1.55,11.91
"703",NA,12.4070602807597,12.49,2.27,33.2,9.65,15.26
"704",NA,22.7464564409579,22.54,4.07,55.86,18.7175,26.31
"705",NA,32.2162791658063,31.42,16.97,77.26,26.86,37.26
"706",NA,33.49232603758,32.72,11.71,57.12,28.02,40.05
"707",NA,42.1066040268456,42.04,19.8,68.12,35.83,50.45
"708",NA,45.9443227338427,43.54,26.7,87.68,40.36,49.71
"709",NA,61.6280501910565,58.55,31.16,125.59,46.62,72.755
"710",NA,87.7437279206694,92.04,39.08,136.58,62.75,112.38
"711",NA,95.3014372741353,95.95,38.96,175.53,72.45,116.81
"712",NA,101.142891093201,110.455,35.58,156,87.295,119.7
"713",NA,95.7251916520302,95.51,32.43,161.78,75.155,116.165
"714",NA,74.0691311983471,63.01,36.63,152.24,54.83,89.72
"715",NA,80.7576859504132,75.22,45.35,155.98,64.92,92.15
"716",NA,87.1995392085959,84.86,55.49,128.24,76.255,97.575
"717",NA,129.496934517662,129.15,71.05,198.74,111.3625,148.78
"718",NA,155.275148883375,151.42,133.15,203.05,145.39,163.38
"719",NA,151.804760380087,149.24,134.96,189.81,142.61,158.26
"720",NA,163.365921868541,163.05,137.12,194.04,155.8175,170.39
"721",NA,159.774207317073,158.215,143.97,189.7,151.94,166.15
"722",NA,154.496481902792,153.415,133.94,176.38,147.54,160.9575
"723",NA,144.171501188139,143.93,124.39,167.75,140.49,148.965
"724",NA,143.44332059097,143.65,122.56,167.67,139.61,147.635
"725",NA,140.728910481704,142.19,120.11,156.08,135.15,146.69
